"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q1";"-SOT363_PHILIPS";1;"MMDT3904";;;
2;"U3";"-SO08W";1;"M25P32";;;
3;"P10,P3,P7,P5";"MHOLE";4;"CONN_1";;;
4;"U11";"LT1117";1;"LT1117CST-3.3";;;
5;"IC1";"LQFP128_14x14mm_0.4mmPitch_iMX233";1;"iMX233";;;
6;"J1";"J1";1;"MICROSD";;;
7;"L2,L8,L13,L12,L11";"SM0805";5;"HZ0805D152R-10_";;;
8;"R32,R7,R29";"SM0603";3;"47k";;;
9;"R8,R51,R52";"SM0603";3;"10k";;;
10;"R9,R28,R30,R31,R13,R16,R5,R33";"SM0603";8;"1k";;;
11;"P2,P1,P4";"pin_array_12x2";3;"CONN_12X2";;;
12;"C40,C48";"SM1206";2;"33uF_Ceramic";;;
13;"C27,C35,C39,C76,C74";"SM1206";5;"33uF";;;
14;"L1";"SM0805";1;"15uH";;;
15;"R22";"SM0603";1;"110";;;
16;"R23,R10";"SM0603";2;"47K";;;
17;"R25,R24";"SM0603";2;"1K_1%";;;
18;"C71,C70,C61,C62,C63,C67,C66,C65,C64,C68,C23,C32,C41,C24,C31,C37,C44,C46,C49,C47,C51,C60,C57,C409,C410,C408,C401,C405,C404";"SM0603";29;"0.1uF";;;
19;"C69,C29,C43,C50,C38,C42,C411,C406";"SM0603";8;"1uF";;;
20;"R1";"SM0603";1;"1";;;
21;"R2,R3";"SM0603";2;"0.1";;;
22;"C45,C22,C30,C36";"SM0603";4;"0.01uF";;;
23;"R19,R17,R18,R15";"SM0603";4;"11k";;;
24;"R14,R12,R11";"SM0603";3;"1.5k";;;
25;"R6";"SM0603";1;"100K";;;
26;"R4";"SM0603";1;"1K";;;
27;"C53,C52,C402,C403";"SM0603";4;"20_pF";;;
28;"JP1,JP2,JP3";"PIN_ARRAY_2X1";3;"JUMPER";;;
29;"BT1";"PIN_ARRAY_2X1";1;"BATTERY";;;
30;"D5,D8,D9";"SM0603";3;"LED";;;
31;"C17,C25";"SM0805";2;"1uF";;;
32;"U2";"TSOP66_JEDEC_DDR_SDRAM";1;"MT46V32M16TG";;;
33;"X1";"ABM8G";1;"24MHz";;;
34;"C34";"SM0805";1;"4.7uF";;;
35;"D4,D3,D2";"LED0603";3;"LED";;;
36;"C75";"SM0603";1;"100n";;;
37;"D1";"SOD123";1;"D1";;;
38;"C412,C407";"SM1206";2;"4.7uF";;;
39;"X401";"ABM8G";1;"12MHz";;;
40;"U401";"QFP48_0.5mm_7x7mm_SOT313_LPC1343";1;"ATSAM3N0AA-AU";;;
